sequence,model_id,name,claude_status,grok_status,synthesis_status,validation_status,bundles,layers,findings,questions,artifacts,functions
220,WM-XCT-004,Access Audit,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
221,WM-XCT-005,Privacy Aggregation Floor,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
222,WM-XCT-007,Access Breach / Enforcement,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
223,WM-XCT-014,Ledger / Account,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
224,WM-XCT-015,Event Register,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
225,WM-XCT-018,Registry Federation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
226,WM-XCT-019,Cyber Integrity,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
227,WM-ACT-001,Function / Capability,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
228,WM-ACT-002,Act,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
229,WM-ACT-003,Process / Workflow,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
230,WM-ACT-004,Service,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
231,WM-ACT-009,Method / Procedure,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
232,WM-ACT-010,Production Run,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
233,WM-ACT-011,Agriculture Operation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
234,WM-ACT-012,Extraction Operation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
235,WM-ACT-013,Maintenance,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
236,WM-ACT-016,Observed Phenomenon,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
237,WM-ACT-017,Situation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
238,WM-ACT-018,Encounter,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
239,WM-ACT-019,Incident / Emergency,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
240,WM-ACT-022,Experiment / Trial,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
241,WM-COM-001,Communications Service,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
242,WM-DAT-003,Map Product,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
243,WM-ECO-003,Insurance,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
244,WM-ECO-005,Credit / Security,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
245,WM-ECO-007,Procurement,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
246,WM-ECO-010,Clearing / Settlement,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
247,WM-ECO-011,Economic Asset view,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
248,WM-ECO-013,Crypto / Token,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
249,WM-ECO-014,Sustainability Claim / PCF,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
250,WM-KNW-001,Model / Ontology,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
251,WM-KNW-002,Language / Terminology,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
252,WM-KNW-003,Intellectual Property Right,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
253,WM-KNW-004,Knowledge Article,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
254,WM-MED-001,Creative Work,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
255,WM-ORG-007,Mandate / Charter,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
256,WM-ORG-008,Vacancy / Matching,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
257,WM-ORG-009,Public Office,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
258,WM-PER-002,Digital Identity / Account,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
259,WM-PER-004,Household / Family,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
260,WM-PER-005,Population Group,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
261,WM-PER-006,Life Event / Civil Status,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
262,WM-PER-009,Skill / Competency,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
263,WM-POL-002,Lawmaking Process,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
264,WM-POL-003,Election,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
265,WM-POL-005,Treaty,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
266,WM-POL-006,Border / Customs / Migration,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
267,WM-POL-007,Defense Force,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
268,WM-POL-008,Offense / Investigation,queued,queued,blocked-on-providers,not-valid-or-not-run,,,,,,
